"company_name","account_number","country","accounting_year","reporting_period_to","ticker_symbol","isin","industry_activity_group","reported_scope_1_metric_tonnes_co2e","reported_scope_1_source","estimated_scope_1_metric_tonnes_co2e","estimated_scope_1_model_type","estimated_scope_1_model_quality","scope_1_comments","reported_scope_2_metric_tonnes_co2e","reported_scope_2_source","estimated_scope_2_metric_tonnes_co2e","estimated_scope_2_model_type","estimated_scope_2_model_quality","scope_2_comments"
"ANADOLU EFES B?RACILIK VE MALT SANAY?? A.?.","21109","Turkey","2011",,"AEFES TI","TRAAEFES91A9","Food & Beverage Processing","152957.18","Company Submitted Data",,,,,"137284.78","Company Submitted Data",,,,
"ANADOLU EFES B?RACILIK VE MALT SANAY?? A.?.","21109","Turkey","2012",,"AEFES TI","TRAAEFES91A9","Food & Beverage Processing","149201.57","Company Submitted Data",,,,,"134477.09","Company Submitted Data",,,,
"ANA Holdings Inc.","550","Japan","2011",,"9202 JP","JP3429800000","Air Transportation - Airlines",,,"17000000","Model 3","5",,,,"100000","Model 3","3",
"ANA Holdings Inc.","550","Japan","2012",,"9202 JP","JP3429800000","Air Transportation - Airlines",,,"17000000","Model 3","5",,,,"93000","Model 3","3",
"ANA Holdings Inc.","550","Japan","2013",,"9202 JP","JP3429800000","Air Transportation - Airlines",,,"15000000","Model 3","5",,,,"71000","Model 3","3",
"Aneka Tambang Tbk Pt (Antam)","21372","Indonesia","2011",,"ANTM IJ","ID1000106602","Mining - Iron, Aluminum, Other Metals","607612.8","CSR Report",,,,,"250747.2","CSR Report",,,,
"Aneka Tambang Tbk Pt (Antam)","21372","Indonesia","2012",,"ANTM IJ","ID1000106602","Mining - Iron, Aluminum, Other Metals","638388.75","CSR Report",,,,,"277733.85","CSR Report",,,,
"Aneka Tambang Tbk Pt (Antam)","21372","Indonesia","2013",,"ANTM IJ","ID1000106602","Mining - Iron, Aluminum, Other Metals","556076.48","CSR Report",,,,,"257296.02","CSR Report",,,,
"Anglo American","772","United Kingdom","2011","2011-12-31T00:00:00.000","AAL LN","GB00B1XZS820","Mining - Iron, Aluminum, Other Metals","9361858","CDP Response",,,,,"9482604","CDP Response",,,,
"Anglo American","772","United Kingdom","2012","2012-12-31T00:00:00.000","AAL LN","GB00B1XZS820","Mining - Iron, Aluminum, Other Metals","8470754","CDP Response",,,,,"9403534","CDP Response",,,,
"Anglo American","772","United Kingdom","2013","2013-12-31T00:00:00.000","AAL LN","GB00B1XZS820","Mining - Iron, Aluminum, Other Metals","7279561","CDP Response",,,,,"9732210","CDP Response",,,,
"Anglo American Platinum","777","South Africa","2011","2011-12-31T00:00:00.000","AMS SJ","ZAE000013181","Mining - Other (Precious Metals and Gems)","540537","CDP Response",,,,,"5450076","CDP Response",,,,
"Anglo American Platinum","777","South Africa","2012","2012-12-31T00:00:00.000","AMS SJ","ZAE000013181","Mining - Other (Precious Metals and Gems)","532649","CDP Response",,,,,"5253513","CDP Response",,,,
"Anglo American Platinum","777","South Africa","2013","2013-12-31T00:00:00.000","AMS SJ","ZAE000013181","Mining - Other (Precious Metals and Gems)","557773","CDP Response",,,,,"5377759","CDP Response",,,,
"AngloGold Ashanti","779","South Africa","2011","2011-12-31T00:00:00.000","ANG SJ","ZAE000043485","Mining - Other (Precious Metals and Gems)","1235000","CDP Response",,,,,"3322000","CDP Response",,,,
"AngloGold Ashanti","779","South Africa","2012","2012-12-31T00:00:00.000","ANG SJ","ZAE000043485","Mining - Other (Precious Metals and Gems)","1245000","CDP Response",,,,,"3344000","CDP Response",,,,
"AngloGold Ashanti","779","South Africa","2013","2013-12-31T00:00:00.000","ANG SJ","ZAE000043485","Mining - Other (Precious Metals and Gems)","1277000","CDP Response",,,,,"3228000","CDP Response",,,,
"Anheuser Busch InBev","22350","Belgium","2011","2011-12-31T00:00:00.000","ABI BB","BE0003793107","Food & Beverage Processing","2720446","CDP Response",,,,,"1647297","CDP Response",,,,
"Anheuser Busch InBev","22350","Belgium","2012","2012-12-31T00:00:00.000","ABI BB","BE0003793107","Food & Beverage Processing","2459221","CDP Response",,,,,"1588297","CDP Response",,,,
"Anheuser Busch InBev","22350","Belgium","2013","2013-12-31T00:00:00.000","ABI BB","BE0003793107","Food & Beverage Processing","3463473","CDP Response",,,,,"1821622","CDP Response",,,,
"Anhui Annada Titanium Industry Co Ltd","55061","China","2011",,"002136 CH","CNE1000000K9","Chemicals",,,"1900","Model 2","2",,,,"8300","Model 2","2",
"Anhui Annada Titanium Industry Co Ltd","55061","China","2012",,"002136 CH","CNE1000000K9","Chemicals",,,"2500","Model 2","2",,,,"5900","Model 2","2",
"Anhui Annada Titanium Industry Co Ltd","55061","China","2013",,"002136 CH","CNE1000000K9","Chemicals",,,"1600","Model 2","2",,,,"5500","Model 2","3",
"Anhui Conch Cement","791","China","2011",,"914 HK","CNE1000001W2","Construction Materials",,,"23000000","Model 2","3",,,,"2100000","Model 2","3",
"Anhui Conch Cement","791","China","2012",,"914 HK","CNE1000001W2","Construction Materials",,,"21000000","Model 2","2",,,,"1900000","Model 2","2",
"Anhui Conch Cement","791","China","2013",,"914 HK","CNE1000001W2","Construction Materials",,,"27000000","Model 2","2",,,,"3100000","Model 2","3",
"Anphat Plastic and Green Environment JSC","55008","Vietnam","2011",,"AAA VN","VN000000AAA4","Chemicals",,,"740","Model 2","2",,,,"3400","Model 2","1",
"Anphat Plastic and Green Environment JSC","55008","Vietnam","2012",,"AAA VN","VN000000AAA4","Chemicals",,,"1100","Model 2","2",,,,"6700","Model 2","1",
"Anphat Plastic and Green Environment JSC","55008","Vietnam","2013",,"AAA VN","VN000000AAA4","Chemicals",,,"1600","Model 2","2",,,,"5800","Model 2","2",
"Antofagasta","820","United Kingdom","2011","2011-12-31T00:00:00.000","ANTO LN","GB0000456144","Mining - Iron, Aluminum, Other Metals","565718","CDP Response",,,,,"1318158","CDP Response",,,,
"Antofagasta","820","United Kingdom","2012","2012-12-31T00:00:00.000","ANTO LN","GB0000456144","Mining - Iron, Aluminum, Other Metals","645371","CDP Response",,,,,"1539442","CDP Response",,,,
"Antofagasta","820","United Kingdom","2013","2013-12-31T00:00:00.000","ANTO LN","GB0000456144","Mining - Iron, Aluminum, Other Metals","706463","CDP Response",,,,,"1626490","CDP Response",,,,
"Arcelor Mittal","904","Luxembourg","2011","2011-12-31T00:00:00.000","MT NA","LU0323134006","Mining - Iron, Aluminum, Other Metals","162028000","CDP Response",,,,,"17902000","CDP Response",,,,
"Arcelor Mittal","904","Luxembourg","2012","2012-12-31T00:00:00.000","MT NA","LU0323134006","Mining - Iron, Aluminum, Other Metals","158192000","CDP Response",,,,,"17256000","CDP Response",,,,
"Arcelor Mittal","904","Luxembourg","2013","2013-12-31T00:00:00.000","MT NA","LU0323134006","Mining - Iron, Aluminum, Other Metals","161815588","CDP Response",,,,,"18209054","CDP Response",,,,
"Archer Daniels Midland","912","USA","2011","2011-12-31T00:00:00.000","ADM US","US0394831020","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","14809727","CDP Response",,,,,"3852992","CDP Response",,,,
"Archer Daniels Midland","912","USA","2012","2012-12-31T00:00:00.000","ADM US","US0394831020","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","15431577","CDP Response",,,,,"3885465","CDP Response",,,,
"Archer Daniels Midland","912","USA","2013","2013-12-31T00:00:00.000","ADM US","US0394831020","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","14832646","CDP Response",,,,,"2820056","CDP Response",,,,
"ARKEMA","943","France","2012","2012-12-31T00:00:00.000","AKE FP","FR0010313833","Chemicals","5120000","CDP Response",,,,,,,"740000","Model 2","4",
"ARKEMA","943","France","2011","2011-12-31T00:00:00.000","AKE FP","FR0010313833","Chemicals","2090000","CDP Response",,,,,,,"690000","Model 2","4",
"ARKEMA","943","France","2013","2013-12-31T00:00:00.000","AKE FP","FR0010313833","Chemicals","4710000","CDP Response",,,,,"1053000","Company Submitted Data",,,,
"Asahi Glass Co., Ltd.","993","Japan","2011","2011-12-31T00:00:00.000","5201 JP","JP3112000009","Building Products","9220000","CDP Response",,,,,,,"1200000","Model 2","3",
"Asahi Glass Co., Ltd.","993","Japan","2012","2012-12-31T00:00:00.000","5201 JP","JP3112000009","Building Products","5480000","CDP Response",,,,,"4400000","CDP Response",,,,
"Asahi Glass Co., Ltd.","993","Japan","2013","2013-12-31T00:00:00.000","5201 JP","JP3112000009","Building Products","5270000","CDP Response",,,,,"4550000","CDP Response",,,,
"Asahi Group Holdings, Ltd.","992","Japan","2011","2011-12-31T00:00:00.000","2502 JP","JP3116000005","Food & Beverage Processing","258000","CDP Response",,,,,"124000","CDP Response",,,,
"Asahi Group Holdings, Ltd.","992","Japan","2012","2012-12-31T00:00:00.000","2502 JP","JP3116000005","Food & Beverage Processing","262000","CDP Response",,,,,"166000","CDP Response",,,,
"Asahi Group Holdings, Ltd.","992","Japan","2013","2013-12-31T00:00:00.000","2502 JP","JP3116000005","Food & Beverage Processing","313000","CDP Response",,,,,"222000","CDP Response",,,,
"Asahi Kasei Corporation","994","Japan","2011","2012-03-31T00:00:00.000","3407 JP","JP3111200006","Chemicals","4416247","CDP Response",,,,,"1480638","CDP Response",,,,
"Asahi Kasei Corporation","994","Japan","2012","2013-03-31T00:00:00.000","3407 JP","JP3111200006","Chemicals","3393652","CDP Response",,,,,"1278702","CDP Response",,,,
"Asahi Kasei Corporation","994","Japan","2013","2014-03-31T00:00:00.000","3407 JP","JP3111200006","Chemicals","3096506","CDP Response",,,,,"1566234","CDP Response",,,,
"Ashland Inc.","1017","USA","2012","2012-12-31T00:00:00.000","ASH US","US0442091049","Chemicals","720000","CDP Response",,,,,"460000","CDP Response",,,,
"Ashland Inc.","1017","USA","2011","2011-12-31T00:00:00.000","ASH US","US0442091049","Chemicals","740000","CDP Response",,,,,"520000","CDP Response",,,,
"Ashland Inc.","1017","USA","2013","2013-12-31T00:00:00.000","ASH US","US0442091049","Chemicals","610000","CDP Response",,,,,"500000","CDP Response",,,,
"Asiana Airlines Inc","1044","South Korea","2011","2011-12-31T00:00:00.000","020560 KS","KR7020560009","Air Transportation - Airlines","5429710","CDP Response",,,,,"23069","CDP Response",,,,
"Asiana Airlines Inc","1044","South Korea","2012","2012-12-31T00:00:00.000","020560 KS","KR7020560009","Air Transportation - Airlines","5667852","CDP Response",,,,,"22908","CDP Response",,,,
