ticker,year,total_emissions,log_emissions,GICS Sector,ai_exposure,high_ai_exposure,post_chatgpt,treatment
CAG,2011,105619.452,11.567607305744287,Consumer Staples,29.6,0,0,0
CAG,2012,98928.376,11.502161500807231,Consumer Staples,29.6,0,0,0
CAG,2013,102370.564,11.536364257710561,Consumer Staples,29.6,0,0,0
CAG,2014,108596.44,11.595403113460115,Consumer Staples,29.6,0,0,0
CAG,2015,107285.496,11.583258067949368,Consumer Staples,29.6,0,0,0
CAG,2016,103151.312,11.543961932208461,Consumer Staples,29.6,0,0,0
CAG,2017,86053.676,11.362738140663003,Consumer Staples,29.6,0,0,0
CAG,2018,93499.348,11.445720437194986,Consumer Staples,29.6,0,0,0
CAG,2019,123699.984,11.725622513078124,Consumer Staples,29.6,0,0,0
CAG,2020,140014.872,11.849511066593958,Consumer Staples,29.6,0,0,0
CAG,2021,143519.70799999998,11.874234610390824,Consumer Staples,29.6,0,0,0
CAG,2022,158389.452,11.972818478767907,Consumer Staples,29.6,0,0,0
CAG,2023,112660.176,11.632140150881709,Consumer Staples,29.6,0,1,0
CAT,2010,328755.212,12.703071758113078,Industrials,50.3,1,0,0
CAT,2011,524091.99,13.169424409390752,Industrials,50.3,1,0,0
CAT,2012,502000.014,13.126357418592145,Industrials,50.3,1,0,0
CAT,2013,512399.052,13.146860950487927,Industrials,50.3,1,0,0
CAT,2014,494806.18,13.111923430308687,Industrials,50.3,1,0,0
CAT,2015,464088.65,13.047833023752407,Industrials,50.3,1,0,0
CAT,2016,441832.266,12.998687863647774,Industrials,50.3,1,0,0
CAT,2017,488605.144,13.09931201242995,Industrials,50.3,1,0,0
CAT,2018,531956.56,13.184318990705542,Industrials,50.3,1,0,0
CAT,2019,537013.652,13.193780658034976,Industrials,50.3,1,0,0
CAT,2020,459261.132,13.037376419712663,Industrials,50.3,1,0,0
CAT,2021,471626.776,13.063945343281624,Industrials,50.3,1,0,0
CAT,2022,479805.406,13.081137980695017,Industrials,50.3,1,0,0
CAT,2023,456901.738,13.032225820091954,Industrials,50.3,1,1,1
CEG,2010,7718209.875999999,15.859093143328886,Utilities,42.0,0,0,0
CEG,2011,6500671.6280000005,15.687416210742821,Utilities,42.0,0,0,0
CEG,2012,6213022.967999999,15.642158286756079,Utilities,42.0,0,0,0
CEG,2013,4789616.42,15.381961095633601,Utilities,42.0,0,0,0
CEG,2014,3268565.446,14.999862051031284,Utilities,42.0,0,0,0
CEG,2015,4054841.558,15.215422418144092,Utilities,42.0,0,0,0
CEG,2016,5913163.186,15.59269164137164,Utilities,42.0,0,0,0
CEG,2017,7199363.757999999,15.789503352038404,Utilities,42.0,0,0,0
CEG,2018,8154254.918,15.914050547446449,Utilities,42.0,0,0,0
CEG,2019,8092826.764,15.906488766155734,Utilities,42.0,0,0,0
CEG,2020,7509770.68,15.831715621147671,Utilities,42.0,0,0,0
CEG,2021,7665565.058,15.852248917267755,Utilities,42.0,0,0,0
CEG,2022,8247705.788000001,15.925445754580497,Utilities,42.0,0,0,0
CEG,2023,8941320.546,16.006193960162175,Utilities,42.0,0,1,0
CF,2010,14820297.766,16.511508337278133,Materials,37.2,0,0,0
CF,2011,14681864.796,16.502123670894562,Materials,37.2,0,0,0
CF,2012,14913768.162,16.5177954490259,Materials,37.2,0,0,0
CF,2013,15024892.678,16.525218962021075,Materials,37.2,0,0,0
CF,2014,14658857.686,16.500555399141113,Materials,37.2,0,0,0
CF,2015,16138570.878,16.5967227334959,Materials,37.2,0,0,0
CF,2016,16427558.374,16.61447093205291,Materials,37.2,0,0,0
CF,2017,20108662.888,16.816661319362574,Materials,37.2,0,0,0
CF,2018,19945452.682,16.80851178971624,Materials,37.2,0,0,0
CF,2019,20985495.304,16.859342104887126,Materials,37.2,0,0,0
CF,2020,20621153.56,16.841828027226125,Materials,37.2,0,0,0
CF,2021,18956070.078,16.75763481169331,Materials,37.2,0,0,0
CF,2022,20703034.516,16.845790890769546,Materials,37.2,0,0,0
CF,2023,20579424.174,16.839802356687574,Materials,37.2,0,1,0
CMS,2010,9012035.286,16.0140716069354,Utilities,42.0,0,0,0
CMS,2011,8649024.481999999,15.972957211520868,Utilities,42.0,0,0,0
CMS,2012,10254407.85,16.143218302775885,Utilities,42.0,0,0,0
CMS,2013,8807316.348,15.99109345074803,Utilities,42.0,0,0,0
CMS,2014,8340563.284,15.936641431998137,Utilities,42.0,0,0,0
CMS,2015,10040895.592,16.122176970232704,Utilities,42.0,0,0,0
CMS,2016,11377669.43,16.24716325832567,Utilities,42.0,0,0,0
CMS,2017,10860688.884,16.200660395682625,Utilities,42.0,0,0,0
CMS,2018,11119740.618,16.224232610725387,Utilities,42.0,0,0,0
CMS,2019,11073913.442,16.22010285031028,Utilities,42.0,0,0,0
CMS,2020,10505380.256,16.167398184415617,Utilities,42.0,0,0,0
CMS,2021,11623815.742,16.268566718622775,Utilities,42.0,0,0,0
CMS,2022,12226466.656,16.31911363977988,Utilities,42.0,0,0,0
CMS,2023,10198676.14,16.13776857768688,Utilities,42.0,0,1,0
CNP,2010,4404956.876,15.298241254537114,Utilities,42.0,0,0,0
CNP,2011,4076896.928,15.22084694543206,Utilities,42.0,0,0,0
CNP,2012,4514767.392,15.322864446064528,Utilities,42.0,0,0,0
CNP,2013,4708635.5940000005,15.36490895359961,Utilities,42.0,0,0,0
CNP,2014,4960186.318,15.41695406371381,Utilities,42.0,0,0,0
CNP,2015,4307398.786,15.275844982110685,Utilities,42.0,0,0,0
CNP,2016,3702865.974,15.124617935404942,Utilities,42.0,0,0,0
CNP,2017,4356177.198000001,15.287105670830025,Utilities,42.0,0,0,0
CNP,2018,5026967.434,15.430327663363173,Utilities,42.0,0,0,0
CNP,2019,4475951.516,15.314229739778593,Utilities,42.0,0,0,0
CNP,2020,3537566.934,15.078950024706833,Utilities,42.0,0,0,0
CNP,2021,5514933.164,15.522970272973826,Utilities,42.0,0,0,0
CNP,2022,4352488.256,15.286258482155036,Utilities,42.0,0,0,0
CNP,2023,3741577.852,15.135018233250408,Utilities,42.0,0,1,0
COP,2010,614938.772,13.329279610285715,Energy,45.0,1,0,0
COP,2011,620517.6819999999,13.338310991151001,Energy,45.0,1,0,0
COP,2012,608691.6440000001,13.319068729638172,Energy,45.0,1,0,0
COP,2013,588098.3319999999,13.284651144586155,Energy,45.0,1,0,0
COP,2014,597383.5739999999,13.300316362535877,Energy,45.0,1,0,0
COP,2015,622116.9580000001,13.340884996828157,Energy,45.0,1,0,0
COP,2016,615259.952,13.329801768988814,Energy,45.0,1,0,0
COP,2017,653221.596,13.389673232254166,Energy,45.0,1,0,0
COP,2018,652974.0939999999,13.389294266642978,Energy,45.0,1,0,0
COP,2019,639745.428,13.36882717057542,Energy,45.0,1,0,0
COP,2020,584483.5939999999,13.27848570197632,Energy,45.0,1,0,0
COP,2021,598302.776,13.301853890573318,Energy,45.0,1,0,0
COP,2022,576118.594,13.264070546598443,Energy,45.0,1,0,0
COP,2023,570045.678,13.2534735276859,Energy,45.0,1,1,1
CTVA,2010,58611.88,10.978709746635516,Materials,37.2,0,0,0
CTVA,2011,57796.632,10.96470308496309,Materials,37.2,0,0,0
CTVA,2012,56993.636,10.95071243712535,Materials,37.2,0,0,0
CTVA,2013,58403.28,10.975144453802141,Materials,37.2,0,0,0
CTVA,2014,58184.08,10.97138424346604,Materials,37.2,0,0,0
CTVA,2015,55891.14,10.931179041027946,Materials,37.2,0,0,0
CTVA,2016,50356.16,10.82689609260462,Materials,37.2,0,0,0
CTVA,2017,58722.528,10.98059574322743,Materials,37.2,0,0,0
CTVA,2018,62288.316,11.03954519729209,Materials,37.2,0,0,0
CTVA,2019,65076.704,11.083337281054824,Materials,37.2,0,0,0
CTVA,2020,56791.336,10.947156666027963,Materials,37.2,0,0,0
CTVA,2021,59699.876,10.997101972639875,Materials,37.2,0,0,0
CTVA,2022,61295.92,11.02348487596379,Materials,37.2,0,0,0
CTVA,2023,56532.988,10.94259729379346,Materials,37.2,0,1,0
CVX,2010,17000457.848,16.64875089271506,Energy,45.0,1,0,0
CVX,2011,17092562.59,16.654154049108346,Energy,45.0,1,0,0
CVX,2012,17181830.422,16.659363070817843,Energy,45.0,1,0,0
CVX,2013,16979698.504,16.647529041635522,Energy,45.0,1,0,0
CVX,2014,16945451.39,16.645510060217816,Energy,45.0,1,0,0
CVX,2015,18612446.006,16.73934110874402,Energy,45.0,1,0,0
CVX,2016,18150600.502,16.714214258732056,Energy,45.0,1,0,0
CVX,2017,18345629.78,16.724901999481293,Energy,45.0,1,0,0
CVX,2018,18759928.652,16.747233751641932,Energy,45.0,1,0,0
CVX,2019,17288467.494,16.665550276176965,Energy,45.0,1,0,0
CVX,2020,15988793.43,16.587398686720743,Energy,45.0,1,0,0
CVX,2021,16806846.476,16.637296949189263,Energy,45.0,1,0,0
CVX,2022,15828266.804,16.577308000980405,Energy,45.0,1,0,0
CVX,2023,16013153.746,16.588921114031105,Energy,45.0,1,1,1
CZR,2010,52208.504,10.863019826263704,Consumer Discretionary,62.6,1,0,0
CZR,2011,53805.148,10.893143014713912,Consumer Discretionary,62.6,1,0,0
CZR,2012,55826.64,10.930024366230585,Consumer Discretionary,62.6,1,0,0
CZR,2013,56952.336,10.949987544859459,Consumer Discretionary,62.6,1,0,0
CZR,2014,59308.376,10.990522683786025,Consumer Discretionary,62.6,1,0,0
CZR,2015,58366.48,10.97451416440309,Consumer Discretionary,62.6,1,0,0
CZR,2016,60775.372,11.014956374001498,Consumer Discretionary,62.6,1,0,0
CZR,2017,57911.832,10.966694262495002,Consumer Discretionary,62.6,1,0,0
CZR,2018,56588.736,10.943582904990505,Consumer Discretionary,62.6,1,0,0
CZR,2019,56405.988,10.940348330520312,Consumer Discretionary,62.6,1,0,0
CZR,2020,41874.292,10.642451242237383,Consumer Discretionary,62.6,1,0,0
CZR,2021,45674.328,10.729313562391741,Consumer Discretionary,62.6,1,0,0
CZR,2022,58716.728,10.980496970441745,Consumer Discretionary,62.6,1,0,0
CZR,2023,56095.788,10.934833834969702,Consumer Discretionary,62.6,1,1,1
D,2010,35933070.254,17.397168634256523,Utilities,42.0,0,0,0
D,2011,31845258.328,17.276399085199255,Utilities,42.0,0,0,0
D,2012,31937104.054,17.279279059636472,Utilities,42.0,0,0,0
D,2013,35717563.644,17.391153132588926,Utilities,42.0,0,0,0
D,2014,38195677.864,17.45823294843494,Utilities,42.0,0,0,0
D,2015,39271452.091,17.48600842844155,Utilities,42.0,0,0,0
D,2016,40588975.275,17.51900706738345,Utilities,42.0,0,0,0
D,2017,36175478.135,17.403892075314634,Utilities,42.0,0,0,0
D,2018,35552237.502,17.386513679938595,Utilities,42.0,0,0,0
D,2019,32430019.552,17.294595112017497,Utilities,42.0,0,0,0
D,2020,33525337.94,17.327812097148023,Utilities,42.0,0,0,0
D,2021,32108770.12,17.284639794389715,Utilities,42.0,0,0,0
D,2022,31246444.182,17.257416173500186,Utilities,42.0,0,0,0
D,2023,28177882.236,17.154047945786647,Utilities,42.0,0,1,0
DAL,2010,1546459.4279999998,14.251479282677714,Industrials,50.3,1,0,0
DAL,2011,1156497.19,13.960907195585394,Industrials,50.3,1,0,0
DAL,2012,386460.76,12.864788202916879,Industrials,50.3,1,0,0
DAL,2013,1357110.636,14.120869202198204,Industrials,50.3,1,0,0
DAL,2014,1403041.308,14.15415351401126,Industrials,50.3,1,0,0
DAL,2015,1438536.184,14.179137310788075,Industrials,50.3,1,0,0
DAL,2016,1398973.314,14.15124989322174,Industrials,50.3,1,0,0
DAL,2017,1355968.92,14.120027564345579,Industrials,50.3,1,0,0
DAL,2018,1230173.122,14.022666279931187,Industrials,50.3,1,0,0
DAL,2019,1501649.668,14.222075506359646,Industrials,50.3,1,0,0
DAL,2020,1179682.28,13.98075655363464,Industrials,50.3,1,0,0
DAL,2021,1381265.21,14.138511179925944,Industrials,50.3,1,0,0
DAL,2022,1313653.766,14.088323708345946,Industrials,50.3,1,0,0
DAL,2023,1256096.862,14.043520538580113,Industrials,50.3,1,1,1
DD,2010,228452.268,12.339086951988685,Materials,37.2,0,0,0
DD,2011,232748.994,12.357720169360581,Materials,37.2,0,0,0
DD,2012,230189.368,12.346661932517895,Materials,37.2,0,0,0
DD,2013,244922.48,12.408701114212162,Materials,37.2,0,0,0
DD,2014,249253.086,12.426228080869256,Materials,37.2,0,0,0
DD,2015,243167.196,12.401508647496295,Materials,37.2,0,0,0
DD,2016,217448.712,12.289722893582507,Materials,37.2,0,0,0
DD,2017,214328.354,12.275269148282872,Materials,37.2,0,0,0
DD,2018,230081.946,12.346195157674847,Materials,37.2,0,0,0
DD,2019,220453.144,12.303444988522765,Materials,37.2,0,0,0
DD,2020,198216.788,12.197121644580504,Materials,37.2,0,0,0
DD,2021,198297.142,12.197526944822036,Materials,37.2,0,0,0
DD,2022,206987.258,12.240417346000921,Materials,37.2,0,0,0
DD,2023,195527.252,12.183460159475727,Materials,37.2,0,1,0
DE,2010,34563.114,10.450571255185222,Industrials,50.3,1,0,0
DE,2011,35541.01,10.47847065610266,Industrials,50.3,1,0,0
DE,2012,34738.768,10.455640361592025,Industrials,50.3,1,0,0
DE,2013,44526.232,10.703856236042371,Industrials,50.3,1,0,0
DE,2014,46430.174,10.745726366070132,Industrials,50.3,1,0,0
DE,2015,42124.088,10.648398756673252,Industrials,50.3,1,0,0
DE,2016,40664.348,10.613131608292035,Industrials,50.3,1,0,0
DE,2017,43409.03,10.678445799378403,Industrials,50.3,1,0,0
DE,2018,48675.116,10.792943757558461,Industrials,50.3,1,0,0
