state,commercial_mwh,industrial_mwh,total_mwh,year,egrid_subregion,emission_factor,commercial_scope2_mt,industrial_scope2_mt,total_scope2_mt
AL,21307775.0,30756789.0,83395605.0,2020,SRSO,0.4071717574910869,8675924.194974644,12523295.83191253,33956335.054882474
AR,11110416.0,16760182.0,45851003.0,2020,SRMV,0.36453357041122736,4050119.613234027,6109648.985201986,16714229.830525897
AZ,29128178.0,14113139.0,81960074.0,2020,AZNM,0.35352214894176776,10297456.081318323,4989307.227593871,28974701.487906307
CA,141500156.0,60901763.0,320898688.0,2020,CAMX,0.22646896063720734,32045393.2593227,13792358.96758353,72673592.34120348
CO,20042218.0,15431465.0,56050264.0,2020,RMPA,0.5133460641743248,10288593.727623807,7921681.822193847,28773182.420331847
CT,18909149.0,4839599.0,40074583.0,2020,NEWE,0.24515789569177457,4635727.178162224,1186465.9068320165,9824600.439005362
DC,12653450.0,372688.0,16714366.0,2020,RFCE,0.2995123876223567,3789865.0211601094,111624.67271820088,5006159.66825394
DE,6689911.0,3179536.0,15185902.0,2020,RFCE,0.2995123876223567,2003711.216591068,952310.4188912376,4548365.766219122
FL,92493736.0,16572954.0,242440171.0,2020,FRCC,0.37053687256760803,34272339.66953398,6140890.54436683,89833022.7470961
GA,44301529.0,30807724.0,133470142.0,2020,SRSO,0.4071717574910869,18038331.422472354,12544035.12538034,54345272.29072493
HI,2684301.0,3263346.0,8796761.0,2020,HIMS,0.5275580372127623,1416124.566848255,1721604.410506119,4640801.966989776
IA,11605738.0,24466641.0,50639862.0,2020,MROW,0.42792771543395236,4966416.948265008,10469953.78747267,21670200.45555062
ID,6309927.0,9180674.0,24461352.0,2020,NWPP,0.27481924322558987,1734089.3629487166,2523025.8809808493,6722450.244914769
IL,76150336.0,75906005.0,214353366.0,2020,RFCW,0.4562709219729477,34745184.01526975,34633702.884633176,97803207.9328247
IN,21996478.0,42262910.0,97155744.0,2020,RFCW,0.4562709219729477,10036353.297217662,19283336.910959713,44329340.88984768
KS,14843319.0,11048183.0,39483946.0,2020,SPNO,0.43516841904727344,6459343.662644356,4807820.329454962,17182166.358567916
KY,18061357.0,27803946.0,71800399.0,2020,SRVC,0.2838920086001216,5127474.916773866,7893318.076949316,20383559.49040016
LA,22398708.0,36276417.0,89126685.0,2020,SRMV,0.36453357041122736,8165080.999838522,13223971.810736544,32489668.70196678
MA,40905478.0,10154856.0,80632023.0,2020,NEWE,0.24515789569177457,10028300.90874618,2489543.128012991,19767577.084050767
MD,46505515.0,6353895.0,85815080.0,2020,RFCE,0.2995123876223567,13928977.835257325,1903070.2621517542,25702679.50480355
ME,6039973.0,4899896.0,16340188.0,2020,NEWE,0.24515789569177457,1480747.0707151347,1201248.1924685435,4005926.1052879863
MI,38986596.0,30103614.0,104957238.0,2020,RFCM,0.5552825430232874,21648576.170701522,16716011.336111436,58280922.025340416
MN,21526677.0,19571847.0,64054606.0,2020,MROW,0.42792771543395236,9211861.709494608,8375335.773532854,27410741.208601937
MO,27931047.0,12823832.0,75725712.0,2020,SRMV,0.36453357041122736,10181804.2882338,4674717.26531375,27604564.167292323
MS,13185143.0,15302064.0,46482040.0,2020,SRMV,0.36453357041122736,4806427.254172602,5578116.024581107,16944264.001197487
MT,4842829.0,7280993.0,17503794.0,2020,NWPP,0.27481924322558987,1330902.6008509402,2000956.9861908173,4810379.4206566205
NC,45905051.0,25828233.0,130390980.0,2020,SRVC,0.2838920086001216,13032077.13328102,7332428.944961945,37016957.215538286
ND,6641700.0,10131201.0,21819452.0,2020,MROW,0.42792771543395236,2842167.5075976816,4335421.698532173,9337148.246380784
NE,9090239.0,11566353.0,31171536.0,2020,MROW,0.42792771543395236,3889965.208018616,4949563.015192641,13339164.187047202
NH,6774407.0,3516913.0,15822083.0,2020,NEWE,0.24515789569177457,1660799.3646796276,862198.990411046,3878908.5737405997
NJ,57880270.0,11536353.0,103398781.0,2020,RFCE,0.2995123876223567,17335857.863926664,3455280.6314843376,30969215.77455117
NM,8406884.0,9088192.0,24777155.0,2020,AZNM,0.35352214894176776,2972019.6975841643,3212877.165835382,8759273.080263266
NV,15372636.0,13605394.0,43303597.0,2020,NWPP,0.27481924322558987,4224696.191902459,3739024.082865981,11900661.756485924
NY,111932408.0,30182257.0,206728183.0,2020,NYCW,0.40214640164744947,45013215.104934186,12137686.046148544,83134994.91256544
OH,77866513.0,85817834.0,240972424.0,2020,RFCW,0.4562709219729477,35528225.67732852,39156182.24090138,109948710.06853607
OK,18698988.0,20367844.0,62299305.0,2020,SPSO,0.442367845705836,8271831.0384392785,9010079.271952538,27559209.341820817
OR,16727801.0,17416338.0,53797756.0,2020,NWPP,0.27481924322558987,4597121.611648265,4786344.828921083,14784658.591154937
PA,61703367.0,94483425.0,228374619.0,2020,RFCE,0.2995123876223567,18480922.774508532,28298956.21248787,68401027.40903603
RI,5980076.0,1151006.0,10602735.0,2020,NEWE,0.24515789569177457,1466062.8482368845,282178.2088886067,2599344.2011775277
SC,20834372.0,25076787.0,76737176.0,2020,SRVC,0.2838920086001216,5914711.715002133,7119099.430667417,21785071.028941043
SD,4696475.0,2929346.0,12695845.0,2020,MROW,0.42792771543395236,2009751.8173426713,1253548.3414955866,5432903.946353567
TN,33480189.0,20438788.0,95003888.0,2020,SRVC,0.2838920086001216,9504758.103521697,5802408.578672062,26970844.58914099
TX,145167577.0,125107209.0,426863267.0,2020,ERCT,0.351216082590197,50985187.71305078,43939663.84877303,149921244.4373933
UT,11395032.0,9672119.0,31663157.0,2020,NWPP,0.27481924322558987,3131574.07077138,2658084.423967849,8701644.844873039
VA,56529963.0,18900363.0,121683632.0,2020,SRVC,0.2838920086001216,16048404.742160555,5365662.01534142,34545010.70223803
VT,1805738.0,1368719.0,5331458.0,2020,NEWE,0.24515789569177457,442690.92825067363,335552.26983335,1307049.024249077
WA,27621126.0,24348844.0,88926516.0,2020,NWPP,0.27481924322558987,7590816.944358665,6691530.881497945,24438717.82980831
WI,22436275.0,22164389.0,67448361.0,2020,MROE,0.6752583211619236,15150281.389627239,14966688.105719807,45545067.01398336
WV,6955844.0,14243240.0,32076583.0,2020,RFCW,0.4562709219729477,3173749.3549799966,6498776.246681968,14635612.09915178
WY,3320024.0,9131466.0,15331018.0,2020,RMPA,0.5133460641743248,1704321.2533642985,4687602.131241665,7870117.750085729
AK,2558649.0,1326779.0,5969339.0,2021,AKGD,0.4798291769103065,1227714.4436723788,636627.2755118796,2864263.019068592
AL,21844283.0,32155730.0,85585166.0,2021,SRSO,0.4071717574910869,8894375.100242672,13092905.097508868,34847862.455386415
AR,11516908.0,18228014.0,48663142.0,2021,SRMV,0.36453357041122736,4198299.593337628,6644723.024925838,17739348.900688555
AZ,29990064.0,14089072.0,81219990.0,2021,AZNM,0.35352214894176776,10602151.872181147,4980799.010035289,28713065.40182889
CA,147207511.0,61307988.0,321866405.0,2021,CAMX,0.22646896063720734,33337932.014160268,13884356.321118379,72892750.20438443
CO,20584470.0,15053158.0,56351209.0,2021,RMPA,0.5133460641743248,10566956.657614464,7727479.412694251,28927671.351614792
CT,20243762.0,4826598.0,40683653.0,2021,NEWE,0.24515789569177457,4962918.09280511,1183278.6090301278,9973918.758534351
DC,12997982.0,479002.0,17099169.0,2021,RFCE,0.2995123876223567,3893056.6230924153,143467.03269588412,5121412.933548186
DE,6800218.0,3284162.0,15581702.0,2021,RFCE,0.2995123876223567,2036749.5295325273,983647.2019586143,4666912.769240051
FL,93965070.0,17112564.0,241562082.0,2021,FRCC,0.37053687256760803,34817523.16839637,6340835.9461730365,89507658.39520009
GA,45777026.0,32758986.0,137363952.0,2021,SRSO,0.4071717574910869,18639112.12913518,13338533.903245911,55930721.7517613
HI,2784538.0,3326862.0,8936482.0,2021,HIMS,0.5275580372127623,1469005.4018243507,1755112.7867977247,4714512.9035071805
IA,12135097.0,26106417.0,52893269.0,2021,MROW,0.42792771543395236,5192944.335779409,11171659.384976096,22634495.765003495
ID,6600296.0,9384477.0,25285616.0,2021,NWPP,0.27481924322558987,1813888.351784888,2579034.867207954,6948973.853612867
IL,78322364.0,78100267.0,218882390.0,2021,RFCW,0.4562709219729477,35736217.23338081,35634880.830423385,99869669.88894232
IN,22920929.0,43329491.0,99740046.0,2021,RFCW,0.4562709219729477,10458153.407306474,19769986.80718854,45508482.74604422
KS,15356451.0,11365925.0,40491786.0,2021,SPNO,0.43516841904727344,6682642.503846921,4946091.613259882,17620746.49802052
KY,18685936.0,29396679.0,74516986.0,2021,SRVC,0.2838920086001216,5304787.9036133215,8345482.247483014,21154776.83036714
LA,22459648.0,37941990.0,90819346.0,2021,SRMV,0.36453357041122736,8187295.6756193815,13831129.083207084,33106700.45979262
MA,42491870.0,10335802.0,83421399.0,2021,NEWE,0.24515789569177457,10417217.433208445,2533903.4686068348,20451414.63450391
MD,47884543.0,6528779.0,87722830.0,2021,RFCE,0.2995123876223567,14342013.804135408,1955450.1865487024,26274074.2622901
ME,6301292.0,4824250.0,16651874.0,2021,NEWE,0.24515789569177457,1544811.4868594136,1182702.9782910435,4082338.389164573
MI,40665416.0,31915439.0,108452840.0,2021,RFCM,0.5552825430232874,22580795.60957988,17722086.129624605,60221968.7932977
MN,22093189.0,21227196.0,66589168.0,2021,MROW,0.42792771543395236,9454287.895420527,9083705.489348732,28495350.534887645
MO,28987412.0,13086588.0,77763041.0,2021,SRMV,0.36453357041122736,10566884.793341257,4770500.648140723,28347238.98176466
MS,13676163.0,15769265.0,48015364.0,2021,SRMV,0.36453357041122736,4985420.527915922,5748426.473210803,17503212.07351471
MT,5048528.0,7199450.0,17807430.0,2021,NWPP,0.27481924322558987,1387432.6443632008,1978547.400640473,4893824.436392666
NC,47714832.0,27049367.0,135693077.0,2021,SRVC,0.2838920086001216,13545859.496497357,7679099.128991845,38522180.18266096
ND,6808316.0,11166390.0,22863107.0,2021,MROW,0.42792771543395236,2913467.111832425,4778407.762344532,9783757.146232003
NE,9260421.0,12588380.0,32341170.0,2021,MROW,0.42792771543395236,3962790.8024865966,5386916.694414457,13839682.992561078
NH,6864033.0,3611990.0,15961633.0,2021,NEWE,0.24515789569177457,1682771.8862388984,885507.8676597328,3913120.3580843867
NJ,58747745.0,11301161.0,103703249.0,2021,RFCE,0.2995123876223567,17595677.37237937,3384837.7140146606,31060407.712185778
NM,8655826.0,9649559.0,25393743.0,2021,AZNM,0.35352214894176776,3060026.208386026,3411332.8340203757,8977250.595034972
NV,15479827.0,13927126.0,43785637.0,2021,NWPP,0.27481924322558987,4254154.341403053,3827442.2276274366,12033135.624490388
NY,112961360.0,30676885.0,207288942.0,2021,NYCW,0.40214640164744947,45427004.449202135,12336598.916502617,83360502.12660685
OH,81601617.0,91000651.0,251623586.0,2021,RFCW,0.4562709219729477,37232445.02307337,41520950.93190844,114808525.5743593
OK,19999312.0,20779958.0,64525137.0,2021,SPSO,0.442367845705836,8847052.565038875,9192385.254317751,28543845.84856393
OR,17469552.0,19300173.0,57077667.0,2021,NWPP,0.27481924322558987,4800969.0601300895,5304058.9379829625,15686041.250022225
PA,64025993.0,96940662.0,232615422.0,2021,RFCE,0.2995123876223567,19176578.033322297,29034929.133311864,69671200.44100209
RI,6056311.0,1178311.0,10662616.0,2021,NEWE,0.24515789569177457,1484752.460414947,288872.2452304706,2614024.5011294466
SC,21114323.0,27292017.0,79792136.0,2021,SRVC,0.2838920086001216,5994187.566701745,7747985.524878665,22652349.759534072
SD,4791689.0,3205738.0,13041391.0,2021,MROW,0.42792771543395236,2050496.5268399997,1371824.1386198075,5580772.656710908
TN,34863397.0,21917298.0,99621137.0,2021,SRVC,0.2838920086001216,9897439.800953453,6222145.752307428,28281644.681957893
TX,147843231.0,132529561.0,435627878.0,2021,ERCT,0.351216082590197,51924920.429297574,46546513.24181855,152999516.77824026
UT,12206510.0,9471737.0,32677627.0,2021,NWPP,0.27481924322558987,3354583.840625595,2603015.594371819,8980440.722548103
VA,64643310.0,21911129.0,133363458.0,2021,SRVC,0.2838920086001216,18351719.118460327,6220394.422506373,37860819.96547796
VT,1867111.0,1371096.0,5412696.0,2021,NEWE,0.24515789569177457,457737.0037829649,336135.01015140937,1326965.1613792854
WA,28936645.0,23383460.0,90444912.0,2021,NWPP,0.27481924322558987,7952346.880387549,6426224.781195852,24856002.269445073
WI,23266013.0,23295516.0,69426615.0,2021,MROE,0.6752583211619236,15710568.87851149,15730491.02476073,46880899.48885523
WV,7156304.0,14570979.0,32777988.0,2021,RFCW,0.4562709219729477,3265213.4239986935,6648314.02237846,14955642.805178216
WY,3443297.0,9443917.0,15784712.0,2021,RMPA,0.5133460641743248,1767602.9627332601,4847997.622338997,8103019.779325235
AK,2575918.0,1375690.0,6002080.0,2022,AKGD,0.4798291769103065,1236000.613728443,660096.2003837395,2879973.1061498127
AL,22391068.0,31712904.0,87027545.0,2022,SRSO,0.4071717574910869,9117010.509662436,12912598.856826121,35435158.447784655
AR,11786525.0,17960258.0,48997663.0,2022,SRMV,0.36453357041122736,4296584.040991192,6547116.974246809,17861293.03519609
AZ,31507070.0,14311610.0,84196517.0,2022,AZNM,0.35352214894176776,11138447.093258703,5059471.122016493,29765333.623252083
CA,160787334.0,61707419.0,337128362.0,2022,CAMX,0.22646896063720734,36413340.41460751,13974815.04453466,76349109.74346419
CO,21059419.0,15018320.0,56763041.0,2022,RMPA,0.5133460641743248,10810769.857447995,7709595.462510546,29139083.68791583
CT,19379593.0,4774820.0,39132365.0,2022,NEWE,0.24515789569177457,4751060.2392430445,1170584.823506999,9593608.25684245
DC,12874100.0,363432.0,16712667.0,2022,RFCE,0.2995123876223567,3855952.4294889825,108852.38605836834,5005650.796707369
DE,6568246.0,3035148.0,15095545.0,2022,RFCE,0.2995123876223567,1967271.041950994,909064.4242672208,4521302.725410729
FL,96864074.0,17635655.0,248820803.0,2022,FRCC,0.37053687256760803,35891711.044117354,6534660.449381299,92197282.1733809
GA,49540774.0,34210498.0,145035204.0,2022,SRSO,0.4071717574910869,20171604.017048743,13929548.595305314,59054238.91075832
HI,2837850.0,3452786.0,9039115.0,2022,HIMS,0.5275580372127623,1497130.5759042376,1821545.0050757045,4768657.767540438
IA,12470072.0,26541024.0,54203955.0,2022,MROW,0.42792771543395236,5336289.422256897,11357639.7655977,23195374.63063476
