state,commercial_mwh,industrial_mwh,total_mwh,year,egrid_subregion,emission_factor,commercial_scope2_mt,industrial_scope2_mt,total_scope2_mt
DE,7179774.0,3149433.0,15629177.0,2019,RFCE,0.2995123876223567,2150431.2533289185,943294.1974866418,4681132.119842422
FL,96566532.0,16514482.0,240347955.0,2019,FRCC,0.37053687256760803,35781460.76197984,6119224.512354056,89057779.57372019
GA,47411823.0,32393384.0,139300990.0,2019,SRSO,0.4071717574910869,19304755.296766337,13189671.094363656,56719428.91854832
HI,3057866.0,3635247.0,9452887.0,2019,HIMS,0.5275580372127623,1613201.7850196406,1917803.7721035825,4986946.511714037
IA,12309610.0,24238717.0,51043148.0,2019,MROW,0.42792771543395236,5267623.285182934,10372418.790860103,21842777.712197114
ID,6440943.0,8847489.0,23985275.0,2019,NWPP,0.27481924322558987,1770095.0809191605,2431460.2314267308,6591615.12405766
IL,82586871.0,81273435.0,226196461.0,2019,RFCW,0.4562709219729477,37681987.7740309,37082705.119358435,103206867.8074879
IN,23517681.0,45316682.0,102104203.0,2019,RFCW,0.4562709219729477,10730433.992535675,20676684.276894886,46587178.84012301
KS,15916325.0,11612642.0,41159628.0,2019,SPNO,0.43516841904727344,6926281.987292594,5053455.060101967,17911370.245333888
KY,19611510.0,29160796.0,75345382.0,2019,SRVC,0.2838920086001216,5567550.9655813705,8278516.948818391,21389951.834723447
LA,24284298.0,37846317.0,93128525.0,2019,SRMV,0.36453357041122736,8852441.854870228,13796253.06292513,33948473.72538125
MA,43972091.0,10217815.0,81747249.0,2019,NEWE,0.24515789569177457,10780105.29872722,2504978.0239678496,20040983.543431524
MD,50747567.0,6958593.0,91318588.0,2019,RFCE,0.2995123876223567,15199524.958195519,2084184.803922218,27351048.32618229
ME,6388294.0,5214776.0,16947596.0,2019,NEWE,0.24515789569177457,1566140.7141003893,1278443.5106639694,4154836.972394336
MI,41746234.0,34911923.0,110160862.0,2019,RFCM,0.5552825430232874,23180954.977165222,19385981.385273196,61170403.592997424
MN,22904299.0,21748034.0,66965594.0,2019,MROW,0.42792771543395236,9801384.34468616,9306586.504799921,28656433.65309759
MO,30133114.0,13009718.0,78857775.0,2019,SRMV,0.36453357041122736,10984531.63402854,4742478.952583212,28746306.275435224
MS,14238982.0,15994186.0,48951026.0,2019,SRMV,0.36453357041122736,5190586.947481199,5830417.728401267,17844292.28307282
MT,5096707.0,8307719.0,18712536.0,2019,NWPP,0.27481924322558987,1400673.1606825665,2283121.048510854,5142564.982351607
NC,49173038.0,27391009.0,136435531.0,2019,SRVC,0.2838920086001216,13959832.526790107,7776088.562594008,38732956.94001415
ND,7035031.0,9398793.0,21559255.0,2019,MROW,0.42792771543395236,3010484.7438370334,4022004.0163266235,9225802.738608014
NE,9456725.0,10618560.0,30383190.0,2019,MROW,0.42792771543395236,4046794.724737143,4543976.121998349,13001809.084295707
NH,7232188.0,3619061.0,16142146.0,2019,NEWE,0.24515789569177457,1773027.9913273037,887241.3791401694,3957374.545309396
NJ,62716645.0,12060102.0,107389818.0,2019,RFCE,0.2995123876223567,18784412.08761374,3612149.9449891592,32164580.79551034
NM,9028861.0,8979712.0,24880134.0,2019,AZNM,0.35352214894176776,3191902.343216518,3174527.0831181793,8795678.43763914
NV,14628007.0,14023505.0,41527176.0,2019,NWPP,0.27481924322558987,4020057.8136386313,3853929.0314702755,11412467.081615878
NY,123098954.0,31847882.0,218100779.0,2019,NYCW,0.40214640164744947,49503801.397664905,12807511.146392576,87708443.47135562
