soc_code,occupation,ai_exposure,ability_exposure,activity_exposure,gics_sector
41-2012.00,Gambling Change Persons and Booth Cashiers,65.36120898530436,0.7464074074074074,0.7012029611351017,Consumer Discretionary
41-2021.00,Counter and Rental Clerks,57.35472670408207,0.7435390639567405,0.6921083172147001,Consumer Discretionary
41-2022.00,Parts Salespersons,54.25703451393418,0.7390978723404257,0.6919210526315789,Consumer Discretionary
41-2031.00,Retail Salespersons,62.38917693074267,0.749453036589966,0.6937166324435318,Consumer Discretionary
41-3011.00,Advertising Sales Agents,72.55212536385599,0.7651232825145866,0.6932314852286523,Consumer Discretionary
41-3021.00,Insurance Sales Agents,85.0600655937937,0.779646017699115,0.6973976480836236,Consumer Discretionary
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",84.21219941304,0.776210720887246,0.6995660948536832,Consumer Discretionary
41-3041.00,Travel Agents,86.79494338467576,0.7721899587860622,0.7074458967216627,Consumer Discretionary
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",81.11831105838164,0.7782677605817641,0.692886282508924,Consumer Discretionary
41-4011.07,Solar Sales Representatives and Assessors,72.34493985369664,0.7576269638290098,0.700418235048097,Consumer Discretionary
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",65.4937550142105,0.7510347985347987,0.6967736153432516,Consumer Discretionary
41-9011.00,Demonstrators and Product Promoters,51.55105428579236,0.7435233160621763,0.6834524341223761,Consumer Discretionary
41-9012.00,Models,52.7986974893619,0.7308909136927362,0.697949018458834,Consumer Discretionary
41-9021.00,Real Estate Brokers,83.14906028414401,0.7759531374106435,0.6982351754739814,Consumer Discretionary
41-9022.00,Real Estate Sales Agents,58.31243276567971,0.755781818181818,0.681296531686944,Consumer Discretionary
41-9031.00,Sales Engineers,77.71562365043927,0.7733916666666666,0.6926782077393075,Consumer Discretionary
41-9041.00,Telemarketers,72.2876486687724,0.7621055004508567,0.6958540960733506,Consumer Discretionary
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",62.55562949504391,0.7615531508593253,0.6818652253909844,Consumer Discretionary
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,77.02059395924259,0.7694170403587445,0.695614346590909,Industrials
43-2011.00,"Switchboard Operators, Including Answering Service",91.2012288997762,0.7628577397117193,0.7233618233618232,Industrials
43-2021.00,Telephone Operators,77.03450679031934,0.7570216680294358,0.708030506953791,Industrials
43-3011.00,Bill and Account Collectors,86.86339187824913,0.7739619554101043,0.7057761732851986,Industrials
43-3021.00,Billing and Posting Clerks,96.82094162170154,0.774362745098039,0.7202535832414553,Industrials
