ticker,year,total_emissions,num_facilities,primary_state
DVN,2018,69552.302,1,TX
DVN,2019,328990.342,1,TX
DVN,2020,376746.986,1,TX
DVN,2021,420986.8,1,TX
DVN,2022,178660.946,1,TX
DVN,2023,99720.708,1,TX
ED,2010,3160131.7739999997,5,NY
ED,2011,2806590.744,5,NY
ED,2012,2725048.4820000003,5,NY
ED,2013,2872899.62,5,NY
ED,2014,2697381.0960000004,5,NY
ED,2015,2709072.7339999997,5,NY
ED,2016,2632140.32,5,NY
ED,2017,2582570.824,5,NY
ED,2018,2658288.444,5,NY
ED,2019,2512922.072,5,NY
ED,2020,2383907.4200000004,5,NY
ED,2021,2481022.192,5,NY
ED,2022,2515563.54,5,NY
ED,2023,2463230.61,5,NY
EIX,2010,2354691.724,1,CA
EIX,2011,1801629.872,1,CA
EIX,2012,2544125.872,1,CA
EIX,2013,2130559.204,1,CA
EIX,2014,2404249.192,1,CA
EIX,2015,2275937.668,1,CA
EIX,2016,1942391.9,1,CA
EIX,2017,1629079.864,1,CA
EIX,2018,820933.76,1,CA
EIX,2019,1216417.044,1,CA
EIX,2020,1154108.472,1,CA
EIX,2021,824124.196,1,CA
EIX,2022,1495603.756,1,CA
EIX,2023,1056295.236,1,CA
EMN,2010,6931860.500000001,7,TX
EMN,2011,7410420.392,7,TX
EMN,2012,7316770.162,7,TX
EMN,2013,7522194.734000001,7,TX
EMN,2014,7422748.988000001,7,TX
EMN,2015,7425040.628,7,TX
EMN,2016,7216229.858,7,TX
EMN,2017,6532215.017999999,7,TX
EMN,2018,6530652.646,7,TX
EMN,2019,6300813.676,7,TX
EMN,2020,6165124.2360000005,7,TX
EMN,2021,6272874.63,7,TX
EMN,2022,6091691.906653875,7,TX
EMN,2023,6094463.184,7,TX
EOG,2010,67.952,2,TX
EOG,2011,322118.568,3,TX
EOG,2012,487178.20399999997,5,TX
EOG,2013,515226.59599999996,7,TX
EOG,2014,523182.446,8,TX
EOG,2015,471922.99,9,TX
EOG,2016,410481.50800000003,6,TX
EOG,2017,454963.36,7,TX
EOG,2018,412529.76399999997,7,TX
EOG,2019,470711.714,7,TX
EOG,2020,367608.864,7,TX
EOG,2021,356756.498,7,TX
EOG,2022,345242.062,7,TX
EOG,2023,318787.588,7,TX
ETR,2010,18466567.562,18,LA
ETR,2011,18792195.05,18,LA
ETR,2012,19928355.2,18,LA
ETR,2013,18975827.724,18,LA
ETR,2014,20747152.074,18,LA
ETR,2015,26913399.882,18,LA
ETR,2016,27340456.218000002,18,LA
ETR,2017,23964547.796,18,LA
ETR,2018,26255598.286000002,18,LA
ETR,2019,27479912.622,19,LA
ETR,2020,29135687.384,23,LA
ETR,2021,28757473.778,23,LA
ETR,2022,32548866.098,23,LA
ETR,2023,32420498.6,23,LA
EVRG,2010,32841511.218000002,10,KS
EVRG,2011,32407766.558,10,KS
EVRG,2012,29933689.684,10,KS
EVRG,2013,31231541.598,10,KS
EVRG,2014,28780355.406000003,11,KS
EVRG,2015,26848698.778,11,KS
EVRG,2016,25282764.748,11,KS
EVRG,2017,22055064.018,10,KS
EVRG,2018,22376405.378,11,KS
EVRG,2019,20022656.7,11,KS
EVRG,2020,18520696.77,11,KS
EVRG,2021,20475596.296,11,KS
EVRG,2022,22674229.544,11,KS
EVRG,2023,18985301.404,11,KS
F,2010,580313.4339395,10,MI
F,2011,587230.6226248188,10,MI
F,2012,561382.5616492034,10,MI
F,2013,651788.688,10,MI
F,2014,703770.99,10,MI
F,2015,649913.218,10,MI
F,2016,620613.9199999999,10,MI
F,2017,595612.098,10,MI
F,2018,640823.936,10,MI
F,2019,624988.096,10,MI
F,2020,481112.43799999997,10,MI
F,2021,499182.316,10,MI
F,2022,559602.738,10,MI
F,2023,497625.124,10,MI
FCX,2010,168263.36800000002,3,AZ
FCX,2011,194981.53399999999,4,AZ
FCX,2012,157479.144,4,AZ
FCX,2013,174022.486,4,AZ
FCX,2014,174049.788,4,AZ
FCX,2015,172971.186,4,AZ
FCX,2016,173174.73599999998,4,AZ
FCX,2017,168284.896,4,AZ
FCX,2018,210610.43800000002,4,AZ
FCX,2019,201481.66999999998,3,AZ
FCX,2020,207870.466,3,AZ
FCX,2021,213868.938,3,AZ
FCX,2022,232194.86800000002,3,AZ
FCX,2023,260273.666,4,AZ
FE,2010,17606186.694,2,WV
FE,2011,16800783.538000003,2,WV
FE,2012,14536259.605999999,2,WV
FE,2013,18648607.724,2,WV
FE,2014,17583285.582000002,2,WV
FE,2015,17138422.016,2,WV
FE,2016,18245669.211999997,2,WV
FE,2017,18001579.714,2,WV
FE,2018,17636737.774,2,WV
FE,2019,17935528.060000002,2,WV
FE,2020,14519278.9,2,WV
FE,2021,15785373.578,2,WV
FE,2022,16531456.942,2,WV
FE,2023,15258135.972,2,WV
GE,2010,3222467.484,10,OR
GE,2011,1888690.342,10,OR
GE,2012,2422640.134,11,OR
GE,2013,2772028.726,12,OR
GE,2014,2620437.909,12,OR
GE,2015,3201374.516,12,OR
GE,2016,3919952.041,13,OR
GE,2017,3735729.478,13,OR
GE,2018,4202991.657,13,OR
GE,2019,4499876.356000001,13,OR
GE,2020,4177739.181,13,OR
GE,2021,4767807.75494,13,OR
GE,2022,4757966.57429,13,OR
GE,2023,5750599.7248,13,OR
GIS,2010,69661.64,2,GA
GIS,2011,70286.33600000001,2,GA
GIS,2012,66557.046,2,GA
GIS,2013,64307.66,2,GA
GIS,2014,65523.694,2,GA
GIS,2015,61049.762,2,GA
GIS,2016,63196.104,2,GA
GIS,2017,42747.24,2,GA
GIS,2018,68812.338,2,GA
GIS,2019,69235.988,2,GA
GIS,2020,82544.862,2,GA
GIS,2021,73949.576,2,GA
GIS,2022,79095.032,2,GA
GIS,2023,70688.598,2,GA
GLW,2010,508047.566,11,TX
GLW,2011,576333.2660000001,13,NY
GLW,2012,570847.064,13,NY
GLW,2013,583632.388,14,NY
GLW,2014,618599.9839999999,14,NY
GLW,2015,632555.572,14,NY
GLW,2016,580296.71,14,NY
GLW,2017,628513.21,15,NY
GLW,2018,678705.952,16,MO
GLW,2019,678142.5380000001,16,MO
GLW,2020,619320.478,16,MO
GLW,2021,695209.8420000001,16,MO
GLW,2022,692168.998,16,MO
GLW,2023,632382.226,16,MO
GM,2010,771853.704,11,MI
GM,2011,836510.19,12,MI
GM,2012,820247.64,13,MI
GM,2013,883562.158,14,MI
GM,2014,826577.5800000001,14,MI
GM,2015,723309.418,14,MI
GM,2016,746779.682,14,MI
GM,2017,680819.38,14,MI
GM,2018,618433.896,14,MI
GM,2019,629765.532,14,MI
GM,2020,512197.86,13,MI
GM,2021,529888.632,13,MI
GM,2022,567991.594,14,MI
GM,2023,572170.952,14,MI
GOOGL,2013,12783.104,1,CA
GOOGL,2014,46570.276,1,CA
GOOGL,2015,69269.444,1,CA
GOOGL,2016,72840.576,1,CA
GOOGL,2017,69215.64,1,CA
