facility_id,facility_name,total_emissions,naics_code,state,latitude,longitude,year,parent_company,ownership_pct,clean_parent,ticker
1003779,VALERO RENEWABLE FUELS LLC,201939.44,325193.0,SD,44.292337,-96.692437,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1006946,VALERO WELCOME PLANT,188618.14,325193.0,MN,43.663889,-94.582222,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1007704,VALLEY TRAIL RECYCLING & DISPOSAL FACILITY,17736.138,562212.0,WI,43.958,-88.909,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1006182,VALLEY VIEW LANDFILL,34238.65,562212.0,KY,38.5035,-85.2905,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1007040,VASCO ROAD LANDFILL,37395.75,562212.0,CA,37.7531,-121.7229,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1007703,VENICE PARK RDF,58453.024,562212.0,MI,42.986172,-83.868516,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1001639,VEOLIA ES BLACKFOOT LANDFILL,15485.592,562212.0,IN,38.324402,-87.205988,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1001642,VEOLIA ES MOREHEAD LANDFILL,61696.242,562212.0,KY,38.189241,-83.542615,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1002275,VERDIGRIS PLT,3354662.502,325311.0,OK,36.233516,-95.719098,2023,CF INDUSTRIES HOLDINGS INC,100.0,CF INDUSTRIES,CF
1004486,VIENNA JUNCTION LANDFILL,34361.15,562212.0,MI,41.731819,-83.509247,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1002989,Valero Bloominburg Plant,196763.96,325193.0,OH,39.597501,-83.390444,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1002379,Valero Fort Dodge Plant,195687.464,325193.0,IA,42.531389,-94.293333,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1002690,Valero Hartley Plant,192779.224,325193.0,IA,43.18294,-95.50569,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1005306,Valero Lakota Plant,111808.828,325193.0,IA,43.38391,-94.14706,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1006245,Valero Linden Plant,211215.504,325193.0,IN,40.197778,-86.910833,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1009080,"Valero Refining - New Orleans, L.L.C.",2848807.686,324110.0,LA,29.985278,-90.392778,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1003150,"Valero Renewable Fuels Campany LLC, dba Valero Albion Plant",188635.24,325193.0,NE,41.6775,-97.982222,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1006490,"Valero Renewable Fuels Company, LLC d/b/a Valero Mt. Vernon Plant",177595.432,325193.0,IN,37.933569,-87.873408,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1001967,Valero Renewable Fuels LLC Charles City,201940.04,325193.0,IA,43.096447,-92.744994,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1005791,"Valero Renewable Fuels, LLC d/b/a Valero Bluffton Plant",180313.272,325193.0,IN,40.722139,-85.193722,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1010774,Valero Wilmington Asphalt Plant,16323.708,324110.0,CA,33.79699,-118.23971,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1006631,Valley (WEPCO),416963.352,221112.0,WI,43.0303,-87.9233,2023,WEC Energy Group Inc,100.0,WEC ENERGY,WEC
1001463,Valmont,21336.02,221112.0,CO,40.0195,-105.202,2023,XCEL ENERGY INC,100.0,XCEL ENERGY,XEL
1001528,Venice,9183.116,221112.0,IL,38.6642,-90.1764,2023,AMEREN CORP,100.0,AMEREN,AEE
